# 待添加的物品配置
# 格式：物品名称 | 价格 | 稀有度
# 稀有度选项：common, rare, epic, legendary
# 示例：新武器X | 50000 | rare

冲锋枪 | _____ | _____
狙击步枪 | _____ | _____
霰弹枪 | _____ | _____
射手步枪 | _____ | _____
轻机枪 | _____ | _____
手枪 | _____ | _____
装备 | _____ | _____
56552突击步枪 | _____ | _____
63战斗步枪 | _____ | _____
08295-1突击步枪 | _____ | _____
PTR-32突击步枪 | _____ | _____
CAR-15突击步枪 | _____ | _____
H70 精英头盔(全新 ) | _____ | _____
GN 重型夜视头盔 | _____ | _____
DICH-1战术头盔 | _____ | _____
GN 重型头盔 | _____ | _____
HOg 防暴头盔 | _____ | _____
GN 久战重型夜视头盔 | _____ | _____
头盔 | _____ | _____
护甲 | _____ | _____
Mask-1铁壁头盔 | _____ | _____
DICH 训练头盔 | _____ | _____
GTI 战术头盔 | _____ | _____
背包 | _____ | _____
MHS 战术头盔 | _____ | _____
DB 战术头盔 | _____ | _____
MC2OI 防弹头盔 | _____ | _____
DAS 防弹头盔 | _____ | _____
H0? 战术头盔 | _____ | _____
防暴头盔 (全新 ) | _____ | _____
12R | _____ | _____
25047 | _____ | _____
24227 | _____ | _____
高级护甲维修组合 | _____ | _____
高级头盔维修组合 | _____ | _____
精密护甲维修包 | _____ | _____
精密头盔维修包 | _____ | _____
标准护甲维修包 | _____ | _____
标准头盔维修包 | _____ | _____
自制护甲维修包 | _____ | _____
制头盔维修包 | _____ | _____
0E2战斗兴奋剂 | _____ | _____
HO? 战术头盔 | _____ | _____
防暴头盔(全新 ) | _____ | _____
MC 防弹头盔 | _____ | _____
复古摩托头盔(全新 ) | _____ | _____
DRO 战术头盔 | _____ | _____
HOI 战术头盔 | _____ | _____
安保头盔 | _____ | _____
重型突击背心 | _____ | _____
精英防弹背心 | _____ | _____
MK-2战术背心 | _____ | _____
突击手防弹背心 | _____ | _____
武士防弹背心 | _____ | _____
射手战术背心 | _____ | _____
制式防弹背心(全新) | _____ | _____
通用战术背心 (全新) | _____ | _____
97715 | _____ | _____
4591 | _____ | _____
制式防弹背心 | _____ | _____
通用战术背心 | _____ | _____
HT 战术背心 | _____ | _____
突击者战术背心 | _____ | _____
强袭战术背心 | _____ | _____
601战术弹挂 | _____ | _____
DSA战术胸挂 | _____ | _____
H03战术胸挂 | _____ | _____
通用战术胸挂 | _____ | _____
轻型战术胸挂 | _____ | _____
6T5野战背包 | _____ | _____
03战术登山包 | _____ | _____
HLS-2重型背包 | _____ | _____
生存战术背包 | _____ | _____
02战术登山包 | _____ | _____
野战徒步背包 | _____ | _____
MAP侦察背包 | _____ | _____
雨林猎手背包 | _____ | _____
GA野战背包 | _____ | _____
DASH战术背包 | _____ | _____
3H战术背包 | _____ | _____
突袭战术背包 | _____ | _____
战术快拆背包 | _____ | _____
露营背包 | _____ | _____
轻型户外背包 | _____ | _____
06运动背包 | _____ | _____
旅行背包 | _____ | _____
运动背包 | _____ | _____
[世界]突击手威龙在此:卖命差一个 | _____ | _____
MIBA4突击步枪 | _____ | _____
AKS-740突击步枪 | _____ | _____
[世界]马鸿檠:有没有来跑刀的 | _____ | _____
霰弹枪快速装填器 | _____ | _____
G系手枪33发弹匣 | _____ | _____
6系手枪25发弹匣 | _____ | _____
先进白热成像战斗瞄准镜 | _____ | _____
八倍先进热成像狙击镜 | _____ | _____
灵眼6/12弹道计算狙击镜 | _____ | _____
灵眼3/7弹道计算狙击镜 | _____ | _____
